Year,geo,time,final_cons,ths_wpeople,long_int,deflated_GDP,va_thwokers,env_consu,env_total,env_inv,gfcf,gfcf_pub,short_int,ths_whour.y,north_south_dummy,Population,Real_GDP_per_capita
1995,NO,1995,48157.8584,2112,7.424166667,229312.8958,108.5761817,695.3897142,2229.192559,441.8930382,407346.4718,9514.114932,5.478333,3123000,1,4359184,52604.54613
1995,LU,1995,4332.12247,217,7.230333333,27583.80903,127.1143273,81.81975437,267.4277807,103.2693306,5576.154645,1052.067116,,350544,1,408625,67503.96826
1995,IS,1995,,135.7,5.65,8245.446556,60.76231802,,,,122407.7028,,7.004167,235261,1,267468,30827.78708
1996,AT,1996,48475.05466,3601.07,6.321466667,247754.7207,68.80030678,419.1346982,3107.135758,1045.120254,62387.41138,9140.661234,3.373333,6508108,1,7959017,31128.80909
1996,NL,1996,103865.6371,7420,6.150833333,485931.3262,65.48939707,3635.081666,7808.76494,2110.869238,101778.4532,18575.73144,,11103662,1,15530498,31288.84381
1996,EU27_2020,1996,1829182.013,178953.22,,9013063.478,50.36547248,24016.59605,68149.44589,20547.72382,,295217.0252,,310232308,,,
1996,CZ,1996,21192.62102,5131.99,,108936.6548,21.22698112,375.3103646,1295.836497,646.3792502,1292370.673,5099.624484,12.015,9388353,1,10315241,10560.74742
1996,BE,1996,62988.06777,3879,6.4925,290019.5135,74.76656702,599.1166194,2125.387303,485.5956227,59853.64889,6028.742831,3.216667,6107723,1,10156637,28554.67942
1996,DE,1996,462674.7847,38057,6.21537826,2347108.031,61.67349059,4263.292226,19675.83427,6895.737423,527684.0875,59588.41209,3.305,57723423,1,81914831,28653.02903
1996,BG,1996,4401.971665,3614.98,,32087.87622,8.876363414,279.7545211,261.1477443,20.56538487,317.8690344,172.0310766,,6175118,0,8362826,3836.965664
1996,ES,1996,128562.4891,14058.8,8.736461185,735180.0337,52.29322799,2329.403566,5812.910157,1426.18619,154034.7872,27454.84639,7.495,24467082,0,39889852,18430.25223
1996,PT,1996,26107.19689,4604.87,8.559166667,147677.4006,32.06983055,417.9975852,829.5761948,404.2426373,34353.93162,7190.32263,,8743595,0,10063945,14673.90776
1996,SI,1996,4354.218929,904.17,,24572.74191,27.17712588,34.94627554,139.9301074,38.86141844,4204.049421,986.3260009,,1562040,0,1988628,12356.63076
1996,EL,1996,27494.39439,4132.66,,156152.8531,37.78507138,797.1516708,650.1148301,265.264245,,6430.347752,13.78157,8717435,,,
1996,CH,1996,51010.49197,3904.66,3.99802475,428810.2169,109.8201167,815.0470219,3469.067878,1058.473546,172132.1386,14741.37931,,6625708,1,7071850,60636.21498
1996,FR,1996,379947.2788,23779,6.312141667,1618879.036,68.08019831,6242.722049,9718.991132,2674.702804,318247.6615,67143.33244,3.935625,37981757,0,59756533,27091.24768
1996,EA20,1996,1607419.161,133380.59,,8005829.322,60.02244646,22042.53617,62080.13868,18526.03507,,257998.6666,,224515639,,,
1996,CY,1996,1519.345107,297.51,,11554.4914,38.83732111,16.98737662,25.18817913,8.493688311,2812.582374,594.1188531,,564833,0,880058,13129.23853
1996,HR,1996,7324.466491,1555.7,,31917.46846,20.51646748,57.09624796,222.8917668,26.30089556,5239.698825,1885.00849,,2991927,0,4557097,7003.903683
1996,FI,1996,31634.40713,2093.5,7.076666667,142758.3276,68.19122408,244.6881426,468.540096,68.54009596,28690.88417,5716.929404,3.625,3623800,1,5124573,27857.60445
1996,EE,1996,2193.666229,618.7,,9698.747138,15.6760096,43.73440354,57.1119858,14.92114944,2558.979959,473.6178642,8.046667,1259625,1,1415594,6851.362141
1996,RO,1996,11330.52519,11236.4,,97066.15853,8.638546022,20.3924715,125.3635543,106.6425969,8718.951626,3801.691572,,20916149,0,22619004,4291.354232
1996,IE,1996,16406.09473,1376.42,7.289166667,98876.28354,71.83583756,363.0341173,541.5700563,178.7015568,19742.92105,2447.66479,5.418334,2688973,1,3637510,27182.40872
1996,HU,1996,15466.90526,3935.29,,71496.31416,18.16799122,109.505378,278.5287768,31.31503705,3168883.356,1348.68613,23.95833,7658002,1,10311238,6933.824451
1996,DK,1996,50713.3506,2637.97,7.193083333,210381.3644,79.75123461,684.7482711,1069.100948,98.61399664,303534.7639,6420.582292,3.983449,3725510,1,5263074,39973.09641
1996,SK,1996,9832.501538,2151.11,,38862.37779,18.06619736,257.0588637,691.415419,98.67596454,16585.80023,1836.785853,11.515,3914229,1,5373361,7232.415203
1996,LT,1996,4088.465989,1497.03,,16977.75492,11.34095838,21.60216022,22.11649736,1.028674296,5140.386908,404.2689983,,2627941,1,3601613,4713.93093
1996,EA19,1996,1600143.75,131824.89,,7973245.227,60.48360994,21977.45833,61847.16431,18488.69586,,256263.1726,,221523712,,,
1996,SE,1996,72380.02341,4051.9,8.026666667,280154.2382,69.14144925,124.7317597,1020.166797,279.0918845,482633.8763,13681.23293,5.79,6697440,1,8840998,31688.07845
1996,NO,1996,49097.63037,2156,6.773333333,240841.3507,111.707491,659.7911129,2415.116236,442.4811889,430792.1237,9586.156553,4.893333,3177000,1,4381336,54969.84269
1996,IT,1996,267481.6403,22044.6,9.401235833,1518359.233,68.87669691,2183.479232,9256.506668,2266.1712,294897.6265,40748.04653,8.82,41138569,0,56860281,26703.33678
1996,LV,1996,2505.948046,935.36,,11419.27652,12.2084294,33.01772275,36.41660597,5.098324836,2019.917456,288.905074,,1995183,1,2457222,4647.230295
1996,IS,1996,,135.5,5.625,8621.95879,63.63069218,,,,151487.5542,,6.991667,238315,1,268916,32061.90331
1996,PL,1996,38440.65231,14964.1,,207672.9912,13.87808095,392.79896,1880.564103,935.6744393,137754.4472,6231.631259,21.33333,31156097,1,38624370,5376.73472
1996,LU,1996,4496.754902,222.6,6.32075,27969.18006,125.6477092,87.15892487,290.1899487,111.4546876,5405.769819,1167.046111,,354526,1,414225,67521.70936
1997,AT,1997,49578.28405,3627.4,5.682841667,252940.2973,69.73046736,447.8375613,955.9971993,128.7230032,64593.72812,7464.318414,3.4975,6586241,1,7968041,31744.35188
1997,NL,1997,106417.1329,7648,5.5775,506961.7706,66.28684239,3790.000276,7927.703206,1965.767206,110271.2163,18253.907,,11334086,1,15610650,32475.37871
1997,EU27_2020,1997,1853176.705,180435.87,,9252765.573,51.28007848,25601.70423,66115.68678,18687.36346,,290066.4867,,312413108,,,
1997,CZ,1997,21732.91189,5095.99,,108370.8021,21.26589771,425.3259581,1120.505729,590.0829712,1269010.273,4782.497037,15.99917,9366006,1,10304131,10517.21898
1997,BE,1997,63670.16682,3905.4,5.753333333,301021.2978,77.07822447,642.0396264,2237.758462,523.8082384,66101.33348,6354.667171,3.436667,6177692,1,10181245,29566.25617
1997,DE,1997,462419.8561,38040,5.640137837,2389166.259,62.80668399,4222.420713,18189.60454,5864.697533,543526.0865,55976.04248,3.325,57352293,1,82034771,29123.82432
1997,BG,1997,3346.567728,3503.91,,27558.66488,7.865117791,180.7179431,255.1956409,29.57202705,5045.097341,361.9835163,,5980710,0,8312068,3315.500412
1997,ES,1997,129657.9082,14584.5,6.401534665,762396.2527,52.27441823,2410.744346,6173.900315,1465.27117,168222.206,28446.60763,5.373333,25415486,0,40057389,19032.59977
1997,SI,1997,4555.957899,887.68,,25813.61926,29.0798703,35.92915616,144.8438138,39.02892649,4908.073015,951.6294929,,1522465,0,1985956,12998.08216
1997,EL,1997,28851.299,4116.42,,163155.054,39.63518154,832.0851196,587.3921802,193.4300914,,6408.889004,12.88379,8677186,,,
1997,CH,1997,50998.38237,3898.97,3.356440917,438504.5327,112.4667624,793.6507937,3410.170862,1017.08624,185117.6389,14509.82375,,6579331,1,7088906,61857.85687
1997,FR,1997,387680.8599,23963,5.582508333,1656688.585,69.1352746,7145.643861,10638.95205,2819.346838,325989.5618,63637.86689,3.462833,38236449,0,59969944,27625.31486
1997,SK,1997,9464.011925,2128.91,,41165.03407,19.33620213,277.8960818,538.9693356,76.02214651,18268.29003,2562.180579,,3895901,1,5383291,7646.815688
1997,EA20,1997,1628735.371,134677.59,,8217061.401,61.0128337,23469.51317,60451.15695,16594.07898,,253516.5393,,226167692,,,
1997,PT,1997,27133.04977,4725.55,6.358333333,154177.4494,32.62635025,466.2338631,920.2298336,461.4581001,39703.52959,8587.269607,,8948871,0,10108977,15251.53825
1997,CY,1997,1753.935926,299.33,,11859.64566,39.6206383,19.16869864,25.08844381,6.34258411,2897.997153,579.430295,,570606,0,897471,13214.51686
1997,HR,1997,7539.061878,1556.09,,33889.62332,21.77870388,61.6389265,231.9025245,26.12088875,6720.641102,1849.008521,,2992653,0,4534920,7473.03664
1997,EE,1997,2237.605644,619,,10964.58067,17.7133775,45.02660663,71.99441381,16.3733115,3148.741422,509.0173605,8.604167,1250485,1,1399535,7834.445491
1997,RO,1997,11721.77846,11331.9,,92360.21379,8.150461422,182.9554799,230.8234465,17.03277341,16351.75614,2456.537061,,21083271,0,22553978,4095.074217
1997,IE,1997,17694.42109,1430.21,6.293333333,109774.8018,76.75432407,405.506846,656.3776123,256.1253903,21928.83648,2815.72784,6.091667,2794908,1,3674171,29877.43407
1997,LT,1997,4442.933103,1506.15,,18389.18429,12.20939766,25.96760232,26.58587857,1.442644574,5405.232515,416.5120976,,2652207,1,3575137,5143.630661
1997,HU,1997,15674.61089,3975.17,,73744.14784,18.55119349,116.9549317,495.2034344,239.0332668,3628452.556,2142.465947,20.13333,7768702,1,10290486,7166.245388
1997,DK,1997,51353.91991,2674.42,6.252583333,217240.1027,81.22886558,724.8329764,1195.47795,125.5336955,338398.5659,6364.771132,3.731128,3819311,1,5284991,41105.10362
1997,EA19,1997,1621220.447,133121.5,,8182622.719,61.46732661,23400.61676,60212.5302,16559.86757,,251780.608,,223175039,,,
1997,FI,1997,32351.53043,2164.6,5.9575,151800.6043,70.12870937,254.8676883,504.1800469,75.33569096,32071.867,6660.704849,3.231667,3737800,1,5139835,29534.13958
1997,LV,1997,2612.91438,976.99,,12428.5776,12.72129459,31.1189869,30.47067468,2.377144833,2052.435493,198.8157497,,2079214,1,2432851,5108.647262
1997,IT,1997,273400.6995,22115.8,6.860859167,1546134.319,69.91084739,2295.856486,10103.23527,2393.450484,295260.9088,41661.21344,6.875834,41132378,0,56890372,27177.4338
1997,LU,1997,4642.759563,229.85,5.597916667,29485.14344,128.2799367,89.9931694,262.636612,84.01639344,6111.034836,1182.889344,,367848,1,419450,70294.77516
1997,SE,1997,73089.57573,3999.8,6.614166667,288757.8246,72.1930658,181.0793992,1033.153149,243.4322111,499694.9471,12440.42317,4.1075,6630900,1,8846062,32642.52778
1997,NO,1997,50653.80436,2221,5.888333333,253570.2706,114.169415,652.7354676,2341.403453,509.1479166,478857.3566,10916.21684,3.7325,3261000,1,4405157,57562.14151
1997,IS,1997,,138.7,5.5,9119.524363,65.74999541,,,,159593.2928,,7.066667,240916,1,271128,33635.49454
1997,PL,1997,39987.89746,15177.1,,221066.5954,14.56579949,364.1764771,1208.525219,963.173695,181747.1669,7433.003788,23.11,31596516,1,38649660,5719.755242
1998,AT,1998,51229.04127,3664.13,4.7135,262000.0806,71.50403523,485.6782029,1093.884351,136.7691316,67188.72259,7581.282244,3.600833,6573561,1,7976789,32845.30663
1998,NL,1998,110512.4973,7830,4.631666667,530607.3791,67.7659488,3786.868358,7958.550206,1877.304272,116756.1267,18625.97593,,11578392,1,15707209,33781.137
1998,EU27_2020,1998,1881273.02,182804.04,,9530722.155,52.13627749,26277.84479,66814.23402,18576.46428,,298435.8665,,316360413,,,
1998,CZ,1998,20518.7632,5007.59,,107985.0544,21.56427631,419.4870129,1086.983989,563.1667298,1207725.492,4738.542626,14.33333,9318501,1,10294373,10489.71651
